"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","playerid"
"Cody Bellinger","Dodgers","152","673","577","167","35","4","43","111","117","86","129","14","4",".290",".383",".587",".969",".392","15998"
"Freddie Freeman","Braves","156","678","582","173","37","3","32","101","103","82","126","9","3",".297",".389",".536",".924",".382","5361"
"Anthony Rizzo","Cubs","156","681","574","160","32","3","28","95","92","79","94","6","2",".279",".383",".490",".874",".368","3473"
"Max Muncy","Dodgers","136","602","505","128","24","2","34","91","92","85","149","3","1",".253",".366",".506",".871",".364","13301"
"Paul Goldschmidt","Cardinals","157","680","580","158","29","2","33","95","98","88","159","8","2",".272",".371",".497",".868",".363","9218"
"Peter Alonso","Mets","154","665","580","148","28","1","43","95","108","65","173","2","1",".255",".343",".530",".873",".360","19251"
"Josh Bell","Pirates","154","660","572","156","32","3","29","88","98","79","122","3","1",".273",".362",".494",".856",".356","13145"
"Rhys Hoskins","Phillies","151","654","550","133","29","2","34","90","95","88","151","3","1",".242",".354",".486",".840",".352","16472"
"Matt Olson","Athletics","152","647","563","138","31","1","37","87","96","71","167","1","0",".245",".336",".501",".837",".347","14344"
"Joey Votto","Reds","151","654","546","146","30","2","17","85","70","97","120","4","1",".266",".381",".421",".801",".346","4314"
"Edwin Encarnacion","White Sox","130","552","481","117","20","1","33","75","82","60","118","2","0",".243",".333",".494",".827",".345","2151"
"Carlos Santana","Indians","154","663","556","138","27","2","28","87","88","98","102","3","1",".248",".362",".453",".815",".344","2396"
"Jose Abreu","White Sox","149","635","578","161","31","2","28","83","88","38","129","2","1",".279",".336",".486",".822",".342","15676"
"Eric Thames","Nationals","112","460","401","96","21","2","25","63","73","50","136","5","1",".240",".332",".490",".823",".341","3711"
"Daniel Murphy","Rockies","130","563","514","149","36","3","17","71","77","39","78","2","1",".291",".342",".474",".816",".340","4316"
"Trey Mancini","Orioles","154","641","579","157","28","2","28","83","82","52","145","1","0",".272",".337",".474",".811",".340","15149"
"Luke Voit","Yankees","105","454","395","101","18","1","19","60","57","49","115","0","0",".256",".346",".452",".798",".339","14811"
"Matt Carpenter","Cardinals","123","532","447","105","25","2","21","66","68","75","131","3","1",".235",".349",".439",".788",".335","8090"
"Hanley Ramirez","","37","161","144","37","7","0","8","21","22","14","36","1","0",".255",".328",".465",".792",".332","8001"
"Justin Smoak","Brewers","117","468","396","92","17","1","21","58","64","65","108","0","0",".231",".342",".437",".779",".332","9054"
"Ji-Man Choi","Rays","107","455","391","97","20","1","17","56","54","56","106","2","1",".247",".345",".433",".778",".331","5452"
"C.J. Cron","Tigers","128","538","488","126","24","2","25","66","75","35","116","2","1",".259",".320",".472",".793",".331","12546"
"Ryan McMahon","Rockies","131","570","511","131","31","3","21","75","76","51","162","5","2",".257",".328",".455",".783",".329","15112"
"Jose Martinez","Rays","57","241","216","59","10","1","7","29","27","22","49","1","0",".274",".342",".425",".767",".327","7996"
"Nathaniel Lowe","Rays","13","55","49","12","3","0","2","7","7","6","13","0","0",".255",".337",".429",".766",".326","19566"
"Brandon Belt","Giants","126","538","461","112","26","3","16","64","62","68","117","4","1",".242",".343",".419",".762",".325","10264"
"Daniel Vogelbach","Mariners","91","379","320","72","13","0","17","43","48","53","94","0","0",".226",".338",".423",".762",".325","14130"
"Christian Walker","Diamondbacks","125","539","481","118","26","2","24","69","75","48","142","4","1",".246",".320",".458",".778",".325","13419"
"Wil Myers","Padres","102","361","320","77","16","1","15","48","44","37","104","12","3",".242",".324",".439",".763",".323","10047"
"Ryan Zimmerman","Nationals","89","288","261","68","14","1","11","35","40","23","59","1","0",".259",".322",".444",".765",".323","4220"
"Yuli Gurriel","Astros","149","649","604","168","38","2","21","83","85","33","79","5","2",".278",".320",".450",".770",".323","19198"
"Ian Desmond","Rockies","97","302","274","72","13","2","11","41","37","22","72","7","2",".263",".322",".441",".763",".322","6885"
"Miguel Cabrera","Tigers","138","579","515","139","27","1","15","64","65","55","111","1","0",".269",".341",".412",".753",".320","1744"
"Greg Bird","","19","82","72","16","4","0","4","10","10","9","22","0","0",".227",".320",".439",".759",".320","14131"
"Garrett Cooper","Marlins","102","395","358","94","19","1","12","43","48","30","95","1","0",".264",".327",".425",".752",".319","15279"
"Wilmer Flores","Giants","105","350","322","88","17","1","11","38","45","21","41","1","0",".274",".323",".433",".756",".319","5827"
"Logan Morrison","","2","7","6","1","0","0","0","1","1","1","2","0","0",".228",".314",".435",".749",".317","9205"
"Mitch Moreland","Red Sox","110","474","420","100","22","1","19","59","61","46","105","1","0",".239",".318",".432",".749",".316","3086"
"Marwin Gonzalez","Twins","75","322","290","75","15","1","10","40","38","25","68","2","1",".260",".324",".420",".744",".316","5497"
"Jesus Aguilar","Marlins","97","413","365","87","16","0","17","45","56","39","100","0","0",".238",".317",".428",".745",".315","11342"
"Neil Walker","","52","124","110","27","5","0","4","14","15","13","26","0","0",".247",".327",".412",".739",".315","7539"
"Rowdy Tellez","Blue Jays","58","247","223","54","12","0","11","29","32","20","63","1","0",".241",".309",".441",".750",".314","15679"
"Eric Hosmer","Padres","146","631","572","150","25","2","19","71","75","52","132","4","1",".263",".325",".410",".735",".312","3516"
"Kevin Cron","Diamondbacks","13","36","32","8","2","0","2","4","5","3","10","0","0",".232",".301",".448",".750",".312","16211"
"Mike Ford","Yankees","42","181","159","37","7","0","7","21","22","19","37","0","0",".230",".317",".418",".735",".311","15585"
"Jake Bauers","Indians","49","209","183","43","10","1","6","26","23","23","51","4","1",".236",".323",".400",".723",".310","15194"
"Michael Chavis","Red Sox","113","488","443","104","21","1","21","61","65","36","154","3","1",".235",".300",".434",".734",".308","17321"
"Matt Adams","Mets","5","13","12","3","0","0","1","2","2","1","4","0","0",".227",".289",".453",".742",".308","9393"
"Ryon Healy","Brewers","8","35","33","8","2","0","1","4","5","2","8","0","0",".249",".297",".437",".734",".308","15447"
"Dominic Smith","Mets","76","189","171","42","9","0","6","21","22","15","45","1","0",".247",".310",".416",".726",".307","15653"
"Jose Osuna","Pirates","102","318","291","74","19","1","9","35","39","21","61","1","0",".255",".309",".418",".727",".307","12937"
"Matt Beaty","Dodgers","62","170","155","41","9","0","4","20","20","11","24","1","0",".262",".316",".406",".722",".306","17710"
"Steve Pearce","","24","105","93","22","5","0","4","12","12","9","25","0","0",".234",".310",".406",".716",".306","9957"
"Victor Caratini","Cubs","73","259","231","58","12","1","6","29","28","23","55","0","0",".251",".324",".386",".710",".305","14968"
"Rangel Ravelo","Cardinals","2","7","6","2","0","0","0","1","1","1","1","0","0",".254",".320",".390",".710",".304","10839"
"Yonder Alonso","","28","60","53","12","2","0","2","7","7","6","12","0","0",".233",".315",".396",".711",".303","2530"
"Lucas Duda","","26","112","99","21","5","0","5","13","15","11","33","0","0",".214",".301",".418",".719",".303","2502"
"Pablo Sandoval","Giants","23","57","52","13","2","0","2","6","7","4","12","0","0",".244",".302",".415",".718",".302","5409"
"Mark Reynolds","","23","98","86","19","3","0","4","12","12","10","31","0","0",".217",".303",".402",".705",".302","7619"
"Ryan O'Hearn","Royals","107","450","401","91","20","2","16","49","54","42","123","1","0",".226",".301",".402",".704",".298","16442"
"Ryan McBroom","Royals","45","191","173","42","9","0","5","20","21","14","51","1","0",".242",".305",".388",".693",".295","16524"
"Ronald Guzman","Rangers","94","398","357","81","18","1","13","42","43","34","107","1","1",".227",".300",".389",".689",".293","14388"
"Jared Walsh","Angels","8","35","31","7","2","0","1","4","4","3","12","0","0",".220",".292",".399",".691",".293","18607"
"Brandon Dixon","Tigers","3","14","13","3","1","0","0","2","2","1","4","0","0",".235",".284",".407",".691",".291","15214"
"Bobby Bradley","Indians","5","21","19","4","1","0","1","2","3","2","7","0","0",".211",".285",".404",".689",".290","17278"
"Sam Travis","Rangers","10","41","37","9","2","0","1","4","4","3","10","0","0",".239",".300",".371",".671",".288","16263"
"Josh Fuentes","Rockies","37","122","114","28","7","1","3","13","14","5","33","1","0",".244",".284",".392",".676",".285","16885"
"Edwin Rios","Dodgers","16","31","28","6","1","0","1","3","4","2","11","0","0",".216",".278",".393",".671",".283","18316"
"Austin Nola","Mariners","107","428","385","88","17","1","9","40","40","34","95","2","1",".229",".298",".349",".647",".280","15941"
"John Hicks","Diamondbacks","5","19","18","4","1","0","1","2","2","1","6","0","0",".226",".272",".381",".653",".277","12547"
"Chris Davis","Orioles","63","263","231","43","8","0","10","27","29","28","99","0","0",".187",".281",".352",".633",".274","9272"
"Albert Pujols","Angels","118","508","475","104","19","1","18","51","59","26","73","1","0",".219",".260",".375",".635",".268","1177"
"Patrick Wisdom","Mariners","15","61","55","11","2","0","2","6","7","5","22","1","0",".191",".260",".356",".615",".262","13602"
"Aramis Garcia","Giants","5","19","17","4","1","0","0","2","2","1","6","0","0",".208",".262",".341",".603",".259","16925"
