"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","playerid"
"Austin Hays","Orioles","115","479","447","111","23","2","18","56","55","25","117","5","2",".249",".293",".430",".723",".303","19363"
"James McCann","White Sox","49","193","177","44","8","1","7","22","22","13","52","1","0",".247",".304",".410",".715",".303","12859"
"Clint Frazier","Yankees","19","84","76","18","4","0","3","10","9","6","23","1","0",".239",".303",".415",".718",".303","15983"
"Francisco Mejia","Padres","99","390","358","90","20","2","11","42","47","23","80","2","1",".253",".306",".414",".719",".303","16403"
"Greg Garcia","Padres","65","180","155","38","7","1","2","19","14","21","37","1","0",".246",".343",".342",".685",".303","10951"
"Chance Sisco","Orioles","78","296","261","61","13","0","9","32","30","27","87","1","0",".234",".318",".384",".702",".303","15694"
"Bobby Dalbec","Red Sox","13","56","49","11","2","0","2","7","7","5","20","0","0",".219",".304",".415",".718",".303","sa857701"
"Austin Dean","Cardinals","2","7","6","2","0","0","0","1","1","0","1","0","0",".255",".308",".407",".715",".303","18288"
"Oscar Mercado","Indians","136","586","530","134","29","3","14","75","58","41","117","23","6",".252",".312",".397",".709",".303","16375"
"Chad Pinder","Athletics","36","151","138","33","7","0","5","17","17","10","39","1","0",".240",".300",".416",".716",".303","15191"
"Lucas Duda","","26","112","99","21","5","0","5","13","15","11","33","0","0",".214",".301",".418",".719",".303","2502"
"Billy McKinney","Blue Jays","29","124","111","26","6","1","4","14","14","10","31","0","0",".231",".302",".415",".716",".303","15654"
"Ben Gamel","Brewers","58","145","129","33","7","1","2","16","14","14","35","2","1",".251",".327",".375",".702",".303","12160"
"Robbie Grossman","Athletics","45","193","166","40","9","1","3","22","15","24","37","2","1",".241",".338",".349",".687",".302","5254"
"Ender Inciarte","Braves","113","454","408","107","18","3","7","57","41","38","67","15","5",".263",".329",".372",".701",".302","4922"
"Kevin Newman","Pirates","131","562","517","142","27","3","8","64","55","33","73","15","4",".275",".323",".385",".707",".302","17696"
"Welington Castillo","Nationals","10","38","35","8","1","0","2","4","5","2","11","0","0",".238",".294",".423",".717",".302","3256"
"Phillip Ervin","Reds","68","175","156","37","8","1","5","22","18","14","42","5","1",".236",".310",".398",".708",".302","14738"
"Pablo Sandoval","Giants","23","57","52","13","2","0","2","6","7","4","12","0","0",".244",".302",".415",".718",".302","5409"
"Zack Cozart","","37","161","145","34","7","1","5","18","18","13","29","0","0",".238",".306",".403",".709",".302","2616"
"Elvis Andrus","Rangers","152","644","593","158","31","2","13","76","62","40","99","18","6",".266",".314",".394",".708",".302","8709"
"Mark Reynolds","","23","98","86","19","3","0","4","12","12","10","31","0","0",".217",".303",".402",".705",".302","7619"
"Abraham Almonte","","3","14","12","3","1","0","0","2","1","1","3","0","0",".234",".316",".385",".700",".301","5486"
"Jedd Gyorko","Brewers","76","271","242","55","10","0","10","30","34","25","63","1","0",".228",".304",".402",".706",".301","10816"
"Nico Hoerner","Cubs","83","362","335","90","18","3","6","41","37","20","50","4","1",".269",".316",".391",".707",".301","21479"
"Curt Casali","Reds","65","258","230","54","11","0","8","29","30","23","63","0","0",".234",".311",".392",".703",".301","12510"
"Nick Martini","","6","16","14","3","1","0","0","2","1","2","3","0","0",".242",".332",".352",".684",".300","12005"
"Mark Trumbo","","40","175","160","37","7","0","8","20","23","13","46","0","0",".231",".291",".422",".713",".300","6876"
"Mike Yastrzemski","Giants","136","580","518","119","28","5","18","66","65","50","154","5","2",".230",".303",".406",".709",".300","14854"
"Harold Ramirez","Marlins","50","155","144","39","7","1","3","16","16","7","31","1","0",".269",".313",".392",".705",".300","14387"
"Joe Panik","","52","220","197","51","10","1","4","23","21","18","23","2","1",".257",".324",".373",".697",".300","11936"
"Josh Reddick","Astros","86","374","339","86","15","2","9","45","41","30","52","3","1",".255",".314",".389",".703",".300","3892"
"Amed Rosario","Mets","152","658","615","166","29","6","13","82","63","32","129","22","6",".269",".309",".399",".708",".299","15518"
"Christian Vazquez","Red Sox","115","454","416","107","20","1","12","53","51","29","86","4","2",".256",".308",".399",".706",".299","9774"
"Randy Arozarena","Rays","8","34","31","7","2","0","1","4","3","2","8","1","0",".242",".313",".386",".699",".299","19290"
"Giovanny Urshela","Yankees","136","586","544","139","27","2","18","65","67","32","105","1","0",".255",".300",".408",".708",".299","10681"
"Nick Ahmed","Diamondbacks","149","644","586","143","30","4","19","76","74","47","121","8","3",".244",".303",".405",".708",".299","12147"
"Maikel Franco","Royals","120","504","461","114","23","1","18","51","65","37","68","0","0",".247",".304",".420",".723",".299","12179"
"Tucker Barnhart","Reds","89","354","309","74","14","1","9","39","36","37","73","1","1",".239",".323",".375",".699",".299","10200"
"LaMonte Wade","Twins","10","42","36","9","2","0","1","5","4","5","7","0","0",".236",".328",".358",".685",".299","18126"
"David Fletcher","Angels","118","508","465","126","25","2","6","58","46","34","54","7","2",".271",".324",".369",".693",".299","17992"
"Jonathan Lucroy","Red Sox","16","64","57","15","3","0","1","7","7","5","10","0","0",".254",".318",".377",".696",".299","7870"
"Brian Goodwin","Angels","92","397","357","82","17","2","14","48","45","33","113","5","2",".230",".299",".407",".706",".299","12858"
"Alex Blandino","Reds","5","21","18","4","1","0","0","2","2","2","6","0","0",".226",".321",".362",".683",".299","16271"
"Daniel Descalso","Cubs","37","102","88","19","4","1","3","12","10","13","27","1","0",".218",".320",".366",".686",".299","8392"
"Andy Young","Diamondbacks","3","14","13","3","1","0","0","2","2","1","4","0","0",".231",".301",".400",".700",".298","sa919031"
"Scott Kingery","Phillies","144","625","575","139","30","3","21","76","72","38","165","16","3",".242",".295",".412",".707",".298","17975"
"Ryan O'Hearn","Royals","107","450","401","91","20","2","16","49","54","42","123","1","0",".226",".301",".402",".704",".298","16442"
"Mike Tauchman","Yankees","110","475","423","100","21","2","12","57","47","45","109","7","3",".237",".313",".381",".694",".298","15274"
"Adam Haseley","Phillies","110","478","434","109","21","2","11","54","50","33","106","5","2",".251",".311",".387",".698",".298","19878"
"Yadier Molina","Cardinals","110","435","401","103","20","1","11","47","50","25","64","5","1",".258",".305",".396",".701",".298","7007"
"Taylor Ward","Angels","3","14","12","3","1","0","0","2","1","1","4","0","0",".230",".313",".376",".689",".297","17548"
"D.J. Stewart","Orioles","79","331","292","66","14","1","10","38","32","32","78","5","2",".226",".309",".384",".693",".297","17766"
"Derek Fisher","Blue Jays","84","357","314","69","14","1","12","44","36","38","119","8","2",".218",".306",".386",".693",".297","16192"
"Brock Holt","Brewers","102","352","310","77","13","2","5","39","31","35","73","4","1",".247",".329",".349",".678",".297","9345"
"Andrelton Simmons","Angels","146","626","577","153","26","2","12","72","63","39","59","10","3",".264",".313",".380",".693",".297","10847"
"Jose Peraza","Red Sox","63","272","253","69","12","2","4","33","26","12","36","8","2",".272",".312",".385",".697",".297","13593"
"Mac Williamson","Nationals","3","14","13","3","1","0","1","2","2","1","4","0","0",".226",".298",".400",".698",".296","14158"
"Myles Straw","Astros","29","127","113","30","5","1","1","16","9","12","26","5","1",".262",".335",".339",".674",".296","17620"
"Elias Diaz","Rockies","16","64","59","16","3","0","1","7","7","4","11","0","0",".263",".312",".378",".690",".296","11680"
"Jacoby Ellsbury","","19","84","74","19","4","1","1","10","7","8","14","3","1",".250",".323",".359",".682",".296","4727"
"Nick Madrigal","White Sox","110","469","431","119","25","2","3","53","40","28","26","13","4",".277",".327",".360",".687",".295","sa3008139"
"Leury Garcia","White Sox","89","379","350","94","15","3","6","45","32","17","82","9","3",".269",".311",".376",".687",".295","5913"
"Wyatt Mathisen","Diamondbacks","2","7","6","1","0","0","0","1","1","1","2","0","0",".230",".308",".376",".684",".295","sa657937"
"Ryan McBroom","Royals","45","191","173","42","9","0","5","20","21","14","51","1","0",".242",".305",".388",".693",".295","16524"
"Austin Barnes","Dodgers","53","216","190","44","9","1","5","26","22","21","49","2","1",".230",".317",".364",".681",".295","12158"
"JaCoby Jones","Tigers","130","544","492","114","24","4","16","65","54","39","160","12","4",".232",".298",".394",".693",".295","14818"
"Brandon Crawford","Giants","134","573","513","124","26","3","13","60","63","49","120","4","2",".242",".312",".384",".696",".295","5343"
"Kevin Kiermaier","Rays","113","482","438","104","20","5","13","61","45","34","108","17","5",".238",".300",".395",".695",".295","11038"
"Victor Reyes","Tigers","96","402","375","100","18","4","6","47","36","21","79","11","3",".267",".307",".386",".693",".295","15487"
"Domingo Leyba","Diamondbacks","23","58","53","13","3","0","1","6","6","4","10","0","0",".252",".304",".387",".692",".295","16404"
"Daniel Johnson","Indians","8","35","32","8","2","0","1","4","4","2","9","1","0",".241",".299",".393",".692",".294","sa918018"
"Adalberto Mondesi","Royals","149","627","580","141","27","9","18","89","55","32","180","43","7",".243",".285",".417",".702",".294","13769"
"Albert Almora Jr.","Cubs","75","265","246","64","13","1","6","29","29","14","44","2","1",".261",".303",".393",".695",".294","14109"
"Jason Castro","Angels","97","382","335","70","14","1","15","44","45","40","127","0","0",".209",".298",".387",".685",".294","8722"
"Dustin Pedroia","Red Sox","10","42","38","10","2","0","1","5","4","4","7","0","0",".255",".321",".356",".677",".294","8370"
"Ronald Guzman","Rangers","94","398","357","81","18","1","13","42","43","34","107","1","1",".227",".300",".389",".689",".293","14388"
"Nick Williams","Phillies","8","19","18","4","1","0","1","2","2","1","6","0","0",".236",".292",".402",".694",".293","14330"
"Josh Ockimey","Red Sox","3","14","12","3","1","0","0","2","2","2","5","0","0",".208",".309",".371",".680",".293","sa829375"
"Jon Jay","Diamondbacks","37","121","109","29","5","1","0","13","9","7","20","1","0",".270",".330",".340",".670",".293","5227"
"Freddy Galvis","Reds","136","591","546","134","24","3","19","68","67","36","137","7","2",".245",".293",".401",".694",".293","6609"
"Cheslor Cuthbert","","5","21","19","5","1","0","1","2","2","1","4","0","0",".242",".297",".393",".691",".293","10473"
"Manny Pina","Brewers","66","264","239","56","11","1","8","28","31","19","64","1","0",".234",".298",".391",".689",".293","2829"
"Esteban Quiroz","Padres","5","21","18","4","1","0","1","2","2","2","5","0","0",".223",".312",".367",".679",".293","sa596560"
"Roberto Perez","Indians","97","383","333","72","12","1","14","43","42","39","114","1","0",".216",".302",".379",".681",".293","2900"
"Jared Walsh","Angels","8","35","31","7","2","0","1","4","4","3","12","0","0",".220",".292",".399",".691",".293","18607"
"Dwight Smith Jr.","Orioles","52","216","195","47","10","1","5","24","20","17","44","2","1",".239",".304",".378",".682",".293","13473"
"Jorge Alfaro","Marlins","113","441","406","98","18","2","14","46","51","22","148","4","1",".240",".294",".395",".689",".292","12180"
"Yangervis Solarte","","3","14","13","3","1","0","0","2","2","1","2","0","0",".242",".300",".387",".687",".292","5352"
"Logan Forsythe","Phillies","2","7","6","1","0","0","0","1","1","1","2","0","0",".226",".316",".352",".668",".292","7185"
"Rylan Bannon","Orioles","21","88","79","18","4","0","2","9","8","8","20","1","0",".234",".307",".373",".680",".292","sa3004162"
"Nicky Delmonico","White Sox","3","14","12","3","1","0","0","2","1","1","3","0","0",".225",".301",".383",".684",".292","13157"
"Jordy Mercer","Tigers","50","211","193","48","10","1","5","21","23","14","40","0","0",".249",".305",".386",".691",".292","6547"
"Ramon Urias","Orioles","45","189","169","40","9","1","4","20","17","14","46","2","1",".235",".307",".370",".677",".292","sa597169"
"Ryan Mountcastle","Orioles","44","182","171","43","10","0","6","19","20","8","46","1","0",".249",".287",".409",".696",".292","sa874734"
"Ehire Adrianza","Twins","24","105","94","23","5","1","2","12","10","8","20","1","0",".246",".310",".370",".680",".292","8418"
"Zack Collins","White Sox","11","47","40","8","2","0","2","5","5","6","16","0","0",".200",".307",".366",".673",".291","19181"
"Josh Harrison","Phillies","44","138","126","31","6","1","3","15","14","7","26","2","1",".247",".300",".381",".681",".291","8202"
"Jo Adell","Angels","63","271","249","58","13","1","9","32","30","18","81","3","1",".234",".291",".395",".686",".291","sa3004837"
"Cristian Pache","Braves","6","28","26","7","1","0","1","3","3","2","7","0","0",".253",".298",".390",".688",".291","sa916722"
"Yairo Munoz","Cardinals","62","166","154","39","8","1","4","19","18","10","35","4","1",".252",".301",".386",".686",".291","16313"
"Delino DeShields","Indians","47","202","175","41","8","1","3","25","13","21","49","10","2",".237",".322",".340",".662",".291","11379"
"Brandon Dixon","Tigers","3","14","13","3","1","0","0","2","2","1","4","0","0",".235",".284",".407",".691",".291","15214"
"Scott Heineman","Rangers","29","123","112","27","5","1","3","14","11","9","33","2","1",".237",".302",".374",".676",".291","14453"
"Miguel Rojas","Marlins","125","531","488","131","23","1","6","52","50","30","64","7","2",".267",".316",".358",".675",".291","7802"
"Mallex Smith","Mariners","134","561","502","125","22","6","5","69","34","45","125","36","8",".250",".318",".348",".666",".291","13608"
"Sam Hilliard","Rockies","79","345","313","71","14","3","11","44","36","26","115","9","2",".228",".290",".397",".687",".290","17954"
"Jonathan Arauz","Red Sox","26","111","102","24","7","1","2","13","11","8","22","1","0",".240",".298",".384",".682",".290","sa877498"
"Andrew Knizner","Cardinals","11","45","41","10","2","0","1","5","5","3","8","0","0",".249",".305",".372",".678",".290","19514"
"Bobby Bradley","Indians","5","21","19","4","1","0","1","2","3","2","7","0","0",".211",".285",".404",".689",".290","17278"
"Brandon Drury","Blue Jays","83","350","320","74","17","1","11","37","38","25","86","1","0",".232",".293",".388",".681",".290","11615"
"Robel Garcia","Cubs","3","14","13","3","1","0","1","2","2","1","5","0","0",".210",".288",".395",".683",".290","13167"
"Luis Rengifo","Angels","24","104","93","22","5","1","2","12","9","9","22","2","1",".238",".310",".360",".670",".290","19858"
"Tony Wolters","Rockies","97","386","340","84","16","3","3","41","34","35","68","1","1",".247",".326",".341",".667",".290","11470"
"Chris Owings","","16","50","46","11","2","0","1","6","5","3","14","1","0",".242",".292",".392",".684",".290","10030"
"Franchy Cordero","Padres","112","463","421","96","18","4","14","55","49","35","159","10","3",".228",".291",".392",".684",".290","14567"
"Matt Wieters","Cardinals","40","160","145","33","6","0","6","17","20","13","36","1","0",".226",".293",".389",".682",".290","4298"
"Isan Diaz","Marlins","130","551","487","106","23","2","16","58","57","53","157","7","2",".218",".300",".375",".675",".289","17922"
"Mike Zunino","Rays","107","415","373","76","16","1","20","46","54","32","142","0","0",".203",".278",".406",".683",".289","13265"
"Dom Nunez","Rockies","18","70","62","14","3","0","2","8","8","7","19","1","0",".218",".298",".380",".678",".289","15055"
"Jon Berti","Marlins","75","238","214","51","9","2","4","28","19","18","55","11","3",".240",".310",".354",".664",".289","12037"
"Brent Rooker","Twins","3","14","13","3","1","0","0","2","2","1","5","0","0",".220",".293",".384",".677",".289","sa3003172"
"Pedro Severino","Orioles","73","278","253","58","10","0","9","29","29","20","61","1","1",".231",".293",".385",".678",".289","14523"
"Daniel Palka","White Sox","6","28","25","5","1","0","1","3","3","2","8","0","0",".212",".286",".400",".686",".289","14897"
"Jake Cronenworth","Padres","5","21","19","5","1","0","0","2","2","2","4","0","0",".247",".316",".346",".663",".289","sa857694"
"Kevin Plawecki","Red Sox","34","134","121","28","6","0","3","15","14","10","28","0","0",".232",".303",".367",".670",".289","13807"
"J.P. Crawford","Mariners","149","622","543","122","25","3","12","63","52","67","141","7","2",".224",".312",".348",".660",".289","15491"
"Tom Murphy","Mariners","125","482","443","94","19","1","23","51","65","31","171","2","1",".213",".271",".417",".688",".289","13499"
"Jose Iglesias","Orioles","138","574","536","143","25","2","9","61","51","25","75","10","4",".266",".304",".371",".675",".289","10231"
"Austin Jackson","","23","98","88","21","5","1","2","11","9","8","29","1","0",".239",".306",".361",".667",".288","9848"
"Adeiny Hechavarria","Braves","47","164","153","39","7","1","4","18","18","9","31","1","1",".253",".296",".385",".681",".288","10459"
"Ke'Bryan Hayes","Pirates","11","49","44","11","2","0","1","5","4","4","10","1","0",".243",".308",".359",".667",".288","sa874730"
"Guillermo Heredia","Pirates","96","311","274","65","13","1","5","32","27","25","60","3","1",".238",".315",".344",".659",".288","18721"
"Joey Wendle","Rays","71","303","278","69","16","2","5","33","27","18","59","6","2",".249",".303",".370",".672",".288","13853"
"Travis Demeritte","Tigers","23","95","86","19","4","1","3","10","10","8","30","1","0",".220",".291",".383",".674",".288","15958"
"Steven Duggar","Giants","68","290","262","63","14","2","4","32","25","24","80","5","2",".240",".306",".361",".668",".288","17719"
"Sam Travis","Rangers","10","41","37","9","2","0","1","4","4","3","10","0","0",".239",".300",".371",".671",".288","16263"
"Kevan Smith","","3","13","12","3","1","0","0","1","1","1","2","0","0",".249",".307",".359",".666",".288","12284"
"Hanser Alberto","Orioles","139","581","548","147","24","2","11","59","56","20","61","4","2",".269",".298",".379",".677",".288","11902"
"Kyle Farmer","Reds","13","52","48","11","3","0","1","6","6","3","12","0","0",".236",".288",".390",".679",".288","14813"
"Tony Kemp","Athletics","50","213","190","46","9","1","3","24","17","18","34","5","2",".243",".312",".352",".664",".288","14894"
"Eric Filia","Mariners","3","14","12","3","1","0","0","1","1","1","2","0","0",".249",".326",".336",".661",".287","sa827359"
"Rio Ruiz","Orioles","96","398","359","83","17","1","10","41","39","35","91","1","0",".230",".299",".371",".670",".287","14103"
"Michael A. Taylor","Nationals","53","153","139","32","7","1","5","19","17","11","49","6","2",".229",".289",".389",".678",".287","11489"
"David Freitas","Brewers","3","13","12","3","1","0","0","1","1","1","3","0","0",".242",".309",".355",".664",".287","10619"
"Greg Allen","Indians","47","202","180","43","9","1","3","24","16","13","44","8","2",".240",".310",".351",".661",".287","16623"
"Lane Thomas","Cardinals","78","216","196","44","10","1","6","25","22","16","64","5","1",".225",".291",".380",".671",".287","16939"
"Jaylin Davis","Giants","23","97","88","20","4","0","3","10","10","7","31","1","0",".229",".294",".378",".672",".287","19552"
"Ildemaro Vargas","Diamondbacks","39","88","82","21","4","1","1","9","9","5","9","1","0",".261",".302",".367",".669",".287","13324"
"Evan White","Mariners","130","541","496","118","21","2","15","53","58","37","138","2","1",".237",".294",".379",".672",".286","sa915774"
"Matt Thaiss","Angels","13","56","50","11","2","0","2","6","6","5","13","0","0",".223",".296",".370",".666",".286","19318"
"Ronny Rodriguez","Brewers","3","14","13","3","1","0","1","2","2","1","4","0","0",".233",".271",".414",".685",".286","11875"
"Donovan Solano","Giants","66","224","209","55","11","1","3","21","22","11","41","1","0",".264",".304",".361",".665",".286","8623"
"Tres Barrera","Nationals","2","6","6","1","0","0","0","1","1","0","1","0","0",".237",".295",".372",".668",".286","19977"
"Josh Phegley","","5","19","18","4","1","0","1","2","2","1","4","0","0",".229",".285",".389",".674",".286","9308"
"Luis Torrens","Padres","3","13","12","3","1","0","0","1","1","1","2","0","0",".247",".302",".365",".667",".286","15905"
"Josh Fuentes","Rockies","37","122","114","28","7","1","3","13","14","5","33","1","0",".244",".284",".392",".676",".285","16885"
"Justin Williams","Cardinals","2","7","6","2","0","0","0","1","1","0","2","0","0",".241",".293",".378",".671",".285","15490"
"Luke Raley","Dodgers","6","28","25","6","1","0","1","3","3","2","8","0","0",".228",".295",".371",".666",".285","sa918048"
"Jarrod Dyson","Pirates","86","368","324","76","12","3","4","46","23","35","64","24","4",".235",".317",".331",".648",".285","4866"
"Sean Murphy","Athletics","97","378","341","76","17","1","12","40","39","29","91","1","0",".224",".290",".378",".669",".285","19352"
"Shed Long","Mariners","121","507","457","104","21","2","13","53","47","41","142","7","3",".228",".296",".366",".662",".285","16542"
"Thairo Estrada","Yankees","15","63","58","15","3","0","1","7","6","3","13","1","0",".251",".297",".369",".666",".285","16426"
"Nicky Lopez","Royals","130","545","495","128","21","5","4","58","42","36","62","7","2",".260",".312",".344",".656",".285","19339"
"Roman Quinn","Phillies","65","201","180","42","7","2","4","26","15","16","55","10","2",".234",".300",".361",".661",".285","13546"
"Carlos Gonzalez","","47","196","176","40","8","0","6","19","20","17","54","1","0",".225",".295",".370",".665",".284","7287"
"Mauricio Dubon","Giants","118","504","470","120","23","2","9","54","49","25","87","13","4",".255",".295",".371",".666",".284","16530"
"Andrew Knapp","Phillies","23","90","79","17","4","0","2","9","9","9","28","0","0",".217",".304",".351",".655",".283","14942"
"Kyle Higashioka","Yankees","36","141","129","28","6","0","6","15","18","9","37","0","0",".216",".272",".404",".675",".283","5517"
"Hernan Perez","","3","14","13","3","1","0","0","2","2","1","3","0","0",".240",".283",".387",".670",".283","5751"
"Willi Castro","Tigers","39","163","150","37","7","1","3","18","14","9","39","3","1",".245",".293",".370",".663",".283","17338"
"Kyle Garlick","Phillies","2","7","6","1","0","0","0","1","1","0","3","0","0",".217",".272",".403",".675",".283","18063"
